id	name	type	url	P4087	description
32696	Togainu no Chi Anthology Comic	Q21198342	https://anilist.co/manga/32696	2696	咎狗の血アンソロジーコミック. 2005 manga by Abi, Akane Sakurama, Akino Shiina, Hiroshi Asagi, HOPE, Fujiko Kosumi, Izo Suzuki, Kaho, Kazuhiko Mishima, Kazuki Tomomaya, Mamimu Saito, Michiru Mizusawa, Mio Motomura, Mizuki Fuuju, mute, Riya Hozumi, Saeko Kamon, Seika Umeda, Sumachii, Takumi Aoyagi, Tamanosuke Honda, Toshimi Nigoshi, Uryou, Yamaki and yuto
32914	Robot	Q21198342	https://anilist.co/manga/32914	2914	村田蓮爾責任編集 「robot」. 2004 manga by Mitsukazu Mihara, Yoshitoshi ABe, Makoto Kobayashi, Sayman Dowman, Shigeki Maeshima, Enomoto, Yumi Tada, Haccan, Ugetsu Hakua, Miggy, Yasuto Miura, SABE, YUG, Yasuyuki Nekoi, Shin Nagasawa, Range Murata, Hanaharu Naruko, Mami Itoh, Suzuhito Yasuda, Yuu Kinutani, Hiroyuki Asada, okama, Shouu Tajima, Kei Sanbe and Kengo Yonekura
32985	Adidas Manga Fever	Q21198342	https://anilist.co/manga/32985	2985	アディダスマンガフィーバー. 2002 manga. Story & Art: Hiroyuki Asada, Atsushi Kamijou, Nicolas de Crecy, Taiyou Matsumoto, Takehiko Inoue, Maki Kusumoto, Sakumi Yoshino, Yoshikazu Yasuhiko, Jirou Taniguchi, Iou Kuroda, Katsuya Terada, Takeshi Obata, Shouu Tajima, Yeong-Sun Yang and Kow Yokoyama, Illustration: Ai Yazawa, Hirohiko Araki, Yoshihiro Yamada, Reiko Okano, Ippei Gyoubu and Shinobu Nishimura
33758	Yuri Hime Wildrose	Q21198342	https://anilist.co/manga/33758	3758	百合姫 Wildrose. 2007 manga. Story & Art: Haruka Minami, Chihiro Harumi, Saburouta, Rou Kawai, Kuzushiro, Momono Moto, Shuninta Amano, Rokuroichi, Linda Gyuunyuu, Nene Jounouchi, Iku Nanzaki, Kaori Monchi, Maco Hanada, Akiko Morishima, Otoha Izumiya, Hajime Mikuni, Miu Ootsuki, Hayase Hashiba, Kitsune Miyashita, Itsumi Takahashi, CHI-RAN, Touko Mizuno and Mitsue Aoki, Cover Illustration: Mikiyo Tsuda and Haruka Minami
34591	Neo Devilman	Q21198342	https://anilist.co/manga/34591	4591	ネオデビルマン. 1999 manga by Kazuko Yumeno, Noriko Nagano, Shinobu Kaze, Akihiko Takadera, Miki Tori, Noboru Miyama, Ken Ishikawa, Katsuya Terada, Tatsuya Egawa, Yoshikazu Yasuhiko, Gou Nagai, Masaomi Kanzaki, Iou Kuroda, Shouu Tajima, Shinichi Hiromoto, Hitoshi Iwaaki and Reiji Hagiwara
35390	CLANNAD: 4-koma Manga Gekijou	Q21198342	https://anilist.co/manga/35390	5390	CLANNAD 4コマ マンガ劇場. 2004 manga. Story & Art: Yuuya Sasagiri, Tsukasa Unohana, Kotomi Nekoma, Tomo, Nagi Shikage, Eiichirou Mashin, Haruka Komowata, Uzura Amano, Heisuke Strike, Senri Ebisu, Yuuya Aiba, Seiji Iwashi, Mio Hirose, Shinju Minami and Kasumi Tenkyuu, Cover Illustration: Haruka Komowata and Tsukasa Unohana (back), Illustration: Yuuya Sasagiri, Yukari Higa, Tsukasa Unohana, Kotomi Nekoma, Nagi Shikage, Haruka Komowata and Uzura Amano, Original Creator: Key
35391	Sunaebo	Q74262765	https://anilist.co/manga/35391	5391	순애보. 2006 manhwa by Se-Yeong Kim, Ju-Yeon Im, Gyo-Jeong Kwon, Eun-Ah Park, Ji-Un Yun, Moon Da Mi Seo, Yeong-Eun Kim, Si-Yeong Lee, Hyeon-Suk Lee, Yeon-Ju Kim, Ji-Sang Sin, Ye-Ri Na, Geo, Aivan, Yu-Ha Sin, Seon-Hui Kim, Si-Jin Yu, Hye-Jin Kang, Hye-Jin Sim and Ki-Hong Park
39803	Angelique: TREASURE	Q21198342	https://anilist.co/manga/39803	9803	アンジェリーク TREASURE. 2000 manga by Tsukasa Shimeno, Rei Omishi, Kaimu Tachibana, Akari Funato, Setsuko Yoneyama, Reku Fuyunagi, Tamayo Akiyama, Kairi Yura, Moony Mucchiri, Ayumi Kasai, Kiya Ootomo, Katsumi Nakagawa, Suzunari Shimokitazawa, Tatsuya Kinami and Ryou Kitagami
40079	[es]: Eternal Sisters	Q21198342	https://anilist.co/manga/40079	10079	[es] ～エターナル・シスターズ～. 2004 manga. Story & Art: Wasou Miyakoshi (vol 1), Eri Takenashi (vol 1), Mera Hakamada (vol 2), Hisanari Minamoto (vol 1-2), Shinkai Inoue (vol 2), Kaname Uchimura (vol 1-2), Haruka Shouji (vol 1), Yuu Izumi (vol 2), Nagi Hirowa (vol 1), Kimuru (vol 2), Keito Koume (vol 2), Moony Mucchiri (vol 2), Miyabi Fujieda (vol 1-2), Karyuu (vol 2), Shisei Kuromasa (vol 1-2), Renjuurou Kindaichi (vol 1), Kaoru Teramoto (vol 1), Hirune Sumino (vol 1), Kei Masuyama (vol 1) and Satou Akitoki Jimusho (vol 1), Cover Illustration: Miyabi Fujieda (vol 1-2), Illustration: Erika Kari (vol 1), Haruka Ogataya (vol 1), Kaori Minakami (vol 2) and RAMI (vol 2)
40603	Phoenix Wright: Ace Attorney Official Casebook: Vol. 1: The Phoenix Wright Files	Q21198342	https://anilist.co/manga/40603	10603	逆転裁判オフィシャルアンソロジーコミック 成歩堂編. 2006 manga. Story & Art: Kikuchiyo Anko (vols 1,2), Wataru Yamasaki (vols 1,2), Yuuya Kurokami (vols 1,2), Eiji Kaneda (vol 1), Tsubaki Mikage (vol 1), Kaname Uchimura (vol 1), Kazuo Maekawa (vol 2), Atsuo Ueda (vol 1), Tamako Yamauchi (vol 1), Kei Nisemura (vol 1), Sevens Gear (vol 1), Aira Kanou (vol 2), Natsu Otono (vol 2), Shinosuke (vol 2), Maao Aou (vol 2), DAIGO (vol 2), Rinta Hashiba (vol 2), Tomo (vol 2), Hajime Nagata (vol 2), Tsukapon (vol 2) and Rin Hashiba (vol 2), Art: Karuna Kanzaki (vol 1)
