id	name	type	url	P4086	description
110694	Animation × Paralympic: Who Is Your Hero?	Q1107	https://anilist.co/anime/110694	37290	アニ×パラ〜あなたのヒーローは誰ですか〜. 2017 anime by Nippon Animation, DLE, TMS Entertainment, GONZO, Studio Gallop, SynergySP, Bit grooove promotion and G-angle
110786	Gundam Build Divers Re:RISE	Q113671041	https://anilist.co/anime/110786	40192	ガンダムビルドダイバーズRe:RISE. 2019 anime by Sunrise Beyond. Directed by Shinya Watada
112936	Enjo Kouhai	Q113687694	https://anilist.co/anime/112936	40658	○○交配. 2020 anime by Majin petit. Directed by Kunio Ayano
113555	Kidou Keisatsu Patlabor EZY	Q20650540	https://anilist.co/anime/113555	59889	機動警察パトレイバー EZY. 2026 anime by J.C.STAFF. Directed by Yutaka Izubuchi
113971	MOBILE SUIT GUNDAM HATHAWAY The Sorcery of Nymph Circe	Q20650540	https://anilist.co/anime/113971	38716	機動戦士ガンダム 閃光のハサウェイ キルケーの魔女. 2026 anime by Sunrise. Directed by Shuukou Murase
115801	Bai She Chuan: Bai Su Zhen	Q202866	https://anilist.co/anime/115801	44060	白蛇传之白素贞. anime. Directed by Jiazhu Yang
117168	The God of War Dominates	Q1047299	https://anilist.co/anime/117168	41409	武神主宰. 2020 anime by Ruo Hong Culture
118046	Asa Okitan	Q64100970	https://anilist.co/anime/118046	39214	あさ おきたん. 1982 anime. Directed by Kouji Nanke
118080	Little Polar Bear: Shirokuma-kun, Doko e?	Q20650540	https://anilist.co/anime/118080	25027	リトルポーラベア しろくまくん、どこへ?. 1990 anime by Animate Film. Directed by Shinya Sadamitsu
119964	POKÉTOON	Q113671041	https://anilist.co/anime/119964	42161	POKÉTOON. 2020 anime by Dandelion Animation Studio, Pancake, Studio Colorido, Team Yamahitsuji, mimoid, StudioGOONEYS and Magic Bus
119975	DS Anime Soushuuhen '98	Q220898	https://anilist.co/anime/119975	19009	ＤＳアニメ総集編 '98. 1998 anime by Studio Compile
120122	Onegai! Cinderella	Q1107	https://anilist.co/anime/120122	21409	お願い！シンデレラ. 2013 anime by A-1 Pictures. Directed by Noriko Takao
121232	Wangzhe Wai Zhuan	Q1047299	https://anilist.co/anime/121232	39190	王者歪传. 2018 anime
121233	Wangzhe Wai Zhuan 2	Q1047299	https://anilist.co/anime/121233		王者歪传 第二季. 2019 anime
