id	name	type	P1853	P21	born	died	P2031	url	description
393939	Haru Suzuki	Q5						https://anilist.co/staff/393939	鈴木はる. Artist.
393940	Suzu Kisaki	Q5						https://anilist.co/staff/393940	綺咲スズ. Mangaka.
393941	Kareha	Q5						https://anilist.co/staff/393941	枯葉. Artist.
393942	Nejirou	Q5						https://anilist.co/staff/393942	ネジロー. Artist.
393943	Rinko Taira	Q5						https://anilist.co/staff/393943	平りんこ. Artist.
393944	Yorushiki	Q5						https://anilist.co/staff/393944	よるシキ. Artist, Illustrator.
393945	Sasha	Q5						https://anilist.co/staff/393945	紗沙. Writer.
393951	Ryugo's	Q5						https://anilist.co/staff/393951	リュウゴズ. Mangaka.
393958	Kazamizawa	Q5						https://anilist.co/staff/393958	風雨沢. Mangaka.
393959	Seong-Min Choi	Q5						https://anilist.co/staff/393959	최성민. Mangaka.
393960	Tom Klotzsche	Q5						https://anilist.co/staff/393960	Translator.
393961	Yuyu Shinkai	Q5						https://anilist.co/staff/393961	深海ゆゆ.
393964	Geumjadu	Q5						https://anilist.co/staff/393964	금자두. Mangaka, Artist.
393965	Yeon-Gae Seo	Q5						https://anilist.co/staff/393965	서영애. Mangaka.
393966	Ryuichi Araki	Q5						https://anilist.co/staff/393966	荒木龍一. Translator.
393967	Cheon-Yeon	Q5						https://anilist.co/staff/393967	천연. Writer.
393969	Fujii	Q5						https://anilist.co/staff/393969	藤井. Writer.
393970	Meko Ameno	Q5						https://anilist.co/staff/393970	雨乃めこ. Writer.
393971	Matsu Honami	Q5						https://anilist.co/staff/393971	穂波まつ. Mangaka.
393972	Chiaki Takayama	Q5	Q19831454					https://anilist.co/staff/393972	高山ちあき. Writer.
393973	Sumika Kawai	Q5						https://anilist.co/staff/393973	かわい澄香. Writer.
393974	Zhenxing Sun	Q5						https://anilist.co/staff/393974	孫振興.
393975	Naru Chiriakuta	Q5						https://anilist.co/staff/393975	塵芥成. Writer.
393983	Zhu Jiu Jiu	Q5						https://anilist.co/staff/393983	竹九九. Writer.
393984	Qiu Si	Q5						https://anilist.co/staff/393984	秋思. Artist.
393985	Jintian Ye Bu Xiang Bailan	Q5						https://anilist.co/staff/393985	今天也不想摆烂. Writer.
393986	Reijirou Tsumura	Q5		Q6581097	1942			https://anilist.co/staff/393986	津村禮次郎.
393987	Kaiji Moriyama	Q5		Q6581097	1973			https://anilist.co/staff/393987	森山開次. Choreographer. From Kanagawa, Japan.
