ID	name	type	URL	description
116234	Ganbare! Ko Zou no Koutsuu Anzen Patrol-tai	Q220898	https://anilist.co/anime/116234	がんばれ! 子象の交通安全パトロール隊. 1984 anime. Directed by Ryouji Fujiwara
116235	Kami nomi Kakushi	Q64100970	https://anilist.co/anime/116235	かみのみかくし. 2017 anime. Directed by Rabbit MACHINE
116236	Kami no Ue no Pilot	Q64100970	https://anilist.co/anime/116236	紙の上のパイロット. 2016 anime. Directed by Rabbit MACHINE
116237	4 Stories 	Q20650540	https://anilist.co/anime/116237	物語たちへ. 2016 anime. Directed by Mio Yamanaka
116242	I'm Standing on a Million Lives	Q100269041	https://anilist.co/anime/116242	100万の命の上に俺は立っている. 2020 anime by Maho Film. Directed by Kumiko Habara
116246	ARP Backstage Pass Episode 6.5	Q1107	https://anilist.co/anime/116246	ARP Backstage Pass Celebrate Good Time～ショートストーリーズ～. 2020 anime by Dynamo Pictures
116248	Garugaku.: Sei Girls Square Gakuin	Q100269041	https://anilist.co/anime/116248	ガル学。〜聖ガールズスクエア学院〜. 2020 anime by OLM and Wit Studio. Directed by Kenji Takahashi
116249	Awakened Seed	Q20650540	https://anilist.co/anime/116249	見跡. 2016 anime. Directed by Xueqing Shao
116250	Face to Face	Q20650540	https://anilist.co/anime/116250	お向かいさん. 2007 anime. Directed by Mika Seike
116251	Shihai no Kyoudan	Q113687694	https://anilist.co/anime/116251	支配の教壇. 2020 anime by PoRO petit
116258	Norimono Man: Mobile Land no Car-kun	Q63952888	https://anilist.co/anime/116258	のりものまん モービルランドのカークン. 2020 anime by CloverWorks. Directed by Shinobu Sasaki
116259	Obake Zukan	Q100269041	https://anilist.co/anime/116259	おばけずかん. 2020 anime by Fanworks. Directed by Naomi Iwata
116267	TONIKAWA: Over The Moon For You	Q100269041	https://anilist.co/anime/116267	トニカクカワイイ. 2020 anime by Seven Arcs. Directed by Hiroshi Ikehata
116272	Shuuseki Life	Q64100970	https://anilist.co/anime/116272	集積ライフ. 2012 anime. Directed by Kousuke Sugimoto
116287	Otherside Picnic	Q63952888	https://anilist.co/anime/116287	裏世界ピクニック. 2021 anime by LIDENFILMS and Felix Film. Directed by Takuya Satou
116320	Wacky TV Nanana Chase the Kraken Monster!	Q100269041	https://anilist.co/anime/116320	テレビ野郎 ナナーナ 怪物クラーケンを追え！. 2020 anime by Studio Crocodile. Directed by Fumihara Satoshi
116323	Decadence: Remix	Q64100970	https://anilist.co/anime/116323	Decadence-Remix-. 2012 anime. Directed by Rabbit MACHINE
116324	Sazae-san: Dawn to Ikka de Hawaii Ryokou	Q1107	https://anilist.co/anime/116324	サザエさん ドーンと一家でハワイ旅行. 1998 anime
116325	Kumo to Yuurei 	Q64100970	https://anilist.co/anime/116325	雲と幽霊. 2018 anime. Directed by Popurika
116327	That's Why I Gave Up on Music	Q64100970	https://anilist.co/anime/116327	だから僕は音楽を辞めた. 2019 anime
