ID	name	type	URL	P4087	description
32489	Yasashii Kankei	Q21198342	https://anilist.co/manga/32489	2489	優しい関係. 1996 manga by Shinri Fuwa
32490	35 do no Renai Netsu	Q21198342	https://anilist.co/manga/32490	2490	35度の恋愛熱. manga by Akemi Takaido
32491	Breakfast Club	Q21198342	https://anilist.co/manga/32491	2491	ブレックファースト・クラブ. 2001 manga by Akemi Takaido
32492	Copy Cat	Q21198342	https://anilist.co/manga/32492	2492	manga by Akemi Takaido
32493	Kimi ga Neiki wo Taterumade	Q21198342	https://anilist.co/manga/32493	2493	manga by Akemi Takaido
32494	My Bodyguard	Q21198342	https://anilist.co/manga/32494	2494	manga by Akemi Takaido
32495	One-Way Ticket of Love	Q21198342	https://anilist.co/manga/32495	2495	恋の片道切符. 2001 manga by Akemi Takaido
32496	Renai no Kamisama ni Ie	Q21198342	https://anilist.co/manga/32496	2496	manga by Akemi Takaido
32497	Trip	Q21198342	https://anilist.co/manga/32497	2497	manga by Akemi Takaido
32498	Yogoto no Tsuki	Q21198342	https://anilist.co/manga/32498	2498	夜ごとの月. 1999 manga by Akemi Takaido
32499	Sokonashi Freefall Romance	Q21198342	https://anilist.co/manga/32499	2499	底なし・フリーフォールロマンス. 2000 manga by Row Takakura
32500	Paraphrase	Q21198342	https://anilist.co/manga/32500	2500	2002 manga by Row Takakura
32501	SECRET AREA: Kinryouku	Q21198342	https://anilist.co/manga/32501	2501	SECRET AREA – 禁猟区. manga by Row Takakura
32504	Nemunoki no Geshukusou	Q21202185	https://anilist.co/manga/32504	2504	ねむの木の下宿荘. 2005 one-shot manga by Sumomo Yumeka
32505	Kokoro Kikai	Q21198342	https://anilist.co/manga/32505	2505	ココロ機械. 2005 manga by Sumomo Yumeka
32508	Junai Virus	Q21198342	https://anilist.co/manga/32508	2508	純愛ウイルス. 1999 manga by Tarako Kotobuki
32509	Koi no Sekken Hour	Q21202185	https://anilist.co/manga/32509	2509	one-shot manga by Tarako Kotobuki
32510	Momoiro Sausage	Q21198342	https://anilist.co/manga/32510	2510	桃色ソーセージ. 2000 manga by Tarako Kotobuki
32511	Oyome ni Oideyo!	Q21198342	https://anilist.co/manga/32511	2511	お嫁においでよ！. manga by Tarako Kotobuki
32512	Shiri Hore!	Q21198342	https://anilist.co/manga/32512		manga by Tarako Kotobuki
